Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
0,318.799,1.57812e+006,0.614877,0,4,False,
2,100.185,5.02174e+006,0.266668,0,5,True,
3,120.3,4.18208e+006,0.491237,0,30,True,
6,28304.3,17774.8,0.102867,2,2,False,
8,65.1919,7.71726e+006,0.419565,4,10,True,
9,6847.19,73475.8,1.55428,16,4,False,
11,144.321,3.486e+006,0.26406,6,11,True,
12,204.339,2.4621e+006,0.2107,8,4,False,
13,847.54,593604,0.138972,9,2,False,
17,107.922,4.66174e+006,0.299218,18,3,False,
18,115.762,4.34602e+006,0.230356,19,10,True,
19,190.083,2.64675e+006,1.51769,5,11,True,
24,60.7756,8.27804e+006,0.319711,25,9,True,
29,88.8211,5.66423e+006,0.154795,30,7,True,
30,62.2999,8.0755e+006,0.290741,30,2,False,
31,28304.3,17774.8,0.464582,31,2,False,
33,100.023,5.0299e+006,0.37601,33,20,True,
35,103.554,4.85836e+006,0.449966,34,2,False,
38,188.394,2.67048e+006,0.697539,37,7,True,
39,266.299,1.88924e+006,0.316696,38,3,False,
63,28304.3,17774.8,0.0638862,54,2,False,
64,114.528,4.39284e+006,0.187028,54,16,True,
65,310.208,1.62182e+006,1.79066,54,5,False,
66,462.09,1.08876e+006,0.222496,55,3,False,
67,745.958,674439,0.106694,55,2,False,
76,801.041,628061,0.240569,60,3,False,
77,234.87,2.14205e+006,3.27128,60,4,False,
80,110.77,4.54187e+006,1.21767,65,6,True,
81,77.6071,6.4827e+006,0.845926,66,7,True,
83,12.2415,4.1098e+007,0.221556,68,2,False,
84,43.1582,1.16572e+007,0.145731,70,2,False,
88,1845.51,272609,0.0936093,75,2,False,
91,106.238,4.7356e+006,0.336789,82,2,False,
92,253.45,1.98502e+006,0.187748,85,3,False,
93,207.721,2.42201e+006,0.292687,87,3,False,
94,50.4125,9.97973e+006,0.986333,89,6,True,
95,28304.3,17774.8,0.283176,96,2,False,
96,103.265,4.87195e+006,0.326216,98,19,True,
97,230.074,2.1867e+006,0.744028,99,4,False,
98,59.6594,8.43292e+006,0.261707,106,3,False,
99,332.688,1.51224e+006,0.379033,114,2,False,
100,178.045,2.82571e+006,0.260935,117,2,False,
103,131.396,3.82891e+006,0.636068,120,4,False,
104,33.6881,1.49341e+007,0.333627,121,10,True,
105,295.01,1.70538e+006,0.724133,122,8,False,
107,12.3738,4.06589e+007,1.01098,124,3,False,
111,110.984,4.53311e+006,1.27195,125,11,True,
112,1874.16,268443,0.180049,125,2,False,
114,308.153,1.63264e+006,0.299864,132,2,False,
115,99.9186,5.03513e+006,0.340944,132,15,True,
116,34.6938,1.45012e+007,0.305068,134,2,False,
117,3793.3,132630,0.402585,135,2,False,
118,242.69,2.07303e+006,0.327207,137,6,False,
119,87.0931,5.77661e+006,0.545409,147,2,False,
120,583.166,862709,0.542282,149,4,False,
122,796.072,631982,0.217519,145,2,False,
126,124.422,4.04354e+006,1.3687,138,9,True,
127,34.3379,1.46515e+007,1.26603,151,2,False,
130,313.817,1.60317e+006,0.718687,141,8,False,
131,668.521,752562,0.139568,158,2,False,
133,49.0929,1.0248e+007,0.293762,154,9,True,
134,25663.1,19604.1,0.44762,156,3,False,
135,255.113,1.97208e+006,0.74402,159,22,True,
138,171.158,2.9394e+006,1.10492,154,4,False,
139,156.143,3.22207e+006,0.158947,161,10,True,
144,876.642,573898,0.169841,165,2,False,
151,120.297,4.18216e+006,0.385029,171,6,True,
157,13.839,3.6354e+007,0.509477,174,2,False,
159,28304.3,17774.8,0.400111,175,2,False,
160,190.797,2.63685e+006,0.334854,177,6,True,
162,273.773,1.83767e+006,0.215213,178,9,True,
164,152.615,3.29656e+006,0.373676,185,9,True,
166,28.7255,1.75142e+007,0.465875,189,2,False,
167,304.776,1.65073e+006,0.180655,190,2,False,
171,489.444,1.02791e+006,0.243259,197,2,False,
172,334.128,1.50572e+006,0.198784,200,5,False,
173,189.758,2.65129e+006,1.64863,207,13,True,
174,332.749,1.51196e+006,0.270596,207,4,False,
182,160.396,3.13664e+006,2.11766,223,3,False,
183,362.179,1.3891e+006,0.155714,225,2,False,
184,170.625,2.94859e+006,1.69251,226,4,False,
185,710.617,707980,0.302972,228,2,False,
187,9996.95,50325.6,1.79969,257,2,False,
188,61.4668,8.18496e+006,0.315838,232,6,True,
189,292.359,1.72084e+006,0.292413,236,4,False,
190,88.4297,5.6893e+006,0.118313,238,3,False,
191,109.863,4.57939e+006,0.929038,240,335,True,
195,61.2623,8.21228e+006,0.415521,249,3,False,
196,1110.91,452874,0.220083,251,2,False,
199,195.293,2.57614e+006,0.438753,255,5,False,
200,166.54,3.02091e+006,2.00112,231,26,True,
201,826.577,608659,0.480599,261,4,False,
203,211.105,2.38319e+006,0.36213,266,8,True,
206,132.859,3.78674e+006,0.06692,270,2,False,
208,19748,25476.2,0.471456,279,3,False,
209,798.205,630293,0.644101,275,4,False,
213,354.083,1.42086e+006,0.388471,286,16,True,
216,5800.24,86738.3,0.179781,312,2,False,
217,408.062,1.23291e+006,0.264603,304,8,False,
219,14.6524,3.4336e+007,0.106993,324,2,False,
225,951.55,528719,1.18198,348,2,False,
226,160.662,3.13144e+006,1.06324,339,9,True,
231,165.36,3.04247e+006,0.26206,364,3,False,
232,36.3384,1.3845e+007,0.612642,371,4,False,
234,91.7308,5.48456e+006,1.13676,373,4,False,
236,93.2887,5.39297e+006,0.416965,377,4,False,
238,1054.25,477215,0.119737,377,2,False,
240,168.015,2.99439e+006,1.25122,382,8,True,
241,76.0025,6.61956e+006,0.461063,385,3,False,
242,1616.23,311281,0.0789979,385,2,False,
244,413.526,1.21662e+006,0.082984,387,4,False,
245,69.6749,7.22072e+006,0.146624,391,2,False,
246,2412.29,208558,1.24688,391,2,False,
247,299.408,1.68032e+006,1.44286,394,5,False,
248,195.934,2.56772e+006,1.34204,403,17,True,
250,556.625,903845,0.385989,407,2,False,
252,1040.83,483369,0.352786,409,4,False,
253,308.301,1.63186e+006,0.215088,405,2,False,
254,84.927,5.92394e+006,0.308367,413,3,False,
256,131.908,3.81405e+006,0.302674,419,12,True,
258,136.306,3.69099e+006,0.146692,423,4,False,
262,222.544,2.2607e+006,0.184066,428,3,False,
263,117.63,4.277e+006,0.402136,429,16,True,
264,213.84,2.35271e+006,1.26312,429,52,True,
267,46.0782,1.09185e+007,0.326347,433,2,False,
270,344.163,1.46182e+006,0.180679,436,2,False,
273,785.44,640536,0.147963,439,2,False,
275,158.669,3.17077e+006,0.204302,442,13,True,
277,51.0559,9.85396e+006,0.165541,442,2,False,
281,253.483,1.98476e+006,0.0681433,449,2,False,
282,167.678,3.00041e+006,0.232775,450,6,True,
283,78.1067,6.44123e+006,0.313956,456,20,True,
287,28304.3,17774.8,0.0998759,463,3,False,
288,170.701,2.94727e+006,0.128913,467,2,False,
290,138.75,3.62597e+006,0.198437,470,8,True,
291,185.68,2.70951e+006,0.4693,481,2,False,
293,3111.42,161695,1.23399,500,3,False,
