[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
Filename,"exo free fbs 50x dil01","exo free fbs 50x dil02","exo free fbs 50x dil03","exo free fbs 50x dil04","exo free fbs 50x dil05",
Operator,"Guillaume","Guillaume","Guillaume","Guillaume","Guillaume",
Sample Description,"exo dep fbs 50x dil","exo dep fbs 50x dil","exo dep fbs 50x dil","exo dep fbs 50x dil","exo dep fbs 50x dil",
Diluent,"","","","","",
Concentration,"","","","","",
Pre-treatmeant,"","","","","",
Comments,"","","","","",

[Results Summary]
Total Frames,749,749,749,749,749,
Processed Frames,749,749,749,749,749,
Valid Tracks,939,1093,1095,845,1143,
Overall Drift (nm/s),397.92,330.58,307.12,452.42,319.81,
X-Drift (nm/s),-121.02,-60.38,-11.72,-40.57,62.72,
Y-Drift (nm/s),-379.07,-325.02,-306.89,-450.60,-313.60,
Calibration (nm/pixel),181,181,181,181,181,

Size Data - Concentration Weighted,,,,,,Mean, Std Error,
Mode (nm),97.00,111.00,107.00,131.00,108.00,110.80,5.57,
Mean (nm),160.88,159.09,180.16,194.50,147.85,168.50,8.32,
Standard Deviation (nm),110.89,89.99,161.73,161.81,101.49,125.18,15.30,

User Line 1,0,0,0,0,0,
User Line 2,0,0,0,0,0,Mean, Std Error,
Average # centres/frame,43.14,50.99,46.56,43.01,44.88,45.71,1.47,
Average # particles/frame,37.97,44.61,40.52,36.14,39.54,39.76,1.42,
Equivalent particle concentration (E8 particles/ml),4.88,5.81,5.19,4.74,5.01,5.13,0.19,
Selected average # particles/frame,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Selected equivalent particle concentration (E8 particles/ml),0.00,0.00,0.00,0.00,0.00,0.00,0.00,

[Settings]
Background Extract,On,On,On,On,On,
Brightness,0,0,0,0,0,
Gain,1.00,1.00,1.00,1.00,1.00,
Blur Size,Auto,Auto,Auto,Auto,Auto,
Detection Threshold Type,Multi,Multi,Multi,Multi,Multi,
Detection Threshold,10,10,10,10,10,
Brightness B,,,,,,
Gain B,,,,,,
Blur Size B,,,,,,
Detection Threshold Type B,,,,,,
Detection Threshold B,,,,,,
Min track length,Auto,Auto,Auto,Auto,Auto,
Min Expected Size (nm),Auto,Auto,Auto,Auto,Auto,
Max jump distance (nm),9.77,9.37,9.27,9.12,9.29,

[Measurement Conditions]
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Camera Shutter (ms),32.49,32.49,32.49,32.49,32.48,
Camera Gain,512.00,512.00,512.00,512.00,512.00,
Camera Shutter B (ms),,,,,,
Camera Gain B,,,,,,
Frame rate (fps),24.99,24.99,25.00,24.99,24.99,
Temperature (°C),25.30,25.30,25.40,25.50,25.50,
Viscosity (cP),0.883,0.883,0.881,0.879,0.879,

[Warnings]
Low Completed Tracks,No,No,No,No,No,
High Noise,0 frames,0 frames,1 frames,0 frames,0 frames,
High Min Expected Size,Auto,Auto,Auto,Auto,Auto,
Drift off,No,No,No,No,No,
Settings Changed Whilst Processing,No,No,No,No,No,
Vibration detected,No vibration detected,No vibration detected,No vibration detected,No vibration detected,No vibration detected,
Additional Errors,None,None,None,None,None,

[Graph Data]

Filename,"exo free fbs 50x dil01","exo free fbs 50x dil02","exo free fbs 50x dil03","exo free fbs 50x dil04","exo free fbs 50x dil05",Average data
Particle Size (nm),Concentration (E6 particles / ml),Concentration (E6 particles / ml),Concentration (E6 particles / ml),Concentration (E6 particles / ml),Concentration (E6 particles / ml),Concentration Average (E6 particles / ml), Standard Error,
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
