Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
1,57.4182,8.62673e+006,0.646218,0,4,False,
2,608.232,814378,0.481512,0,4,False,
3,137.36,3.60607e+006,0.305744,0,3,False,
4,98.4646,5.03055e+006,1.04761,0,4,False,
6,23.1297,2.14153e+007,0.156106,0,2,False,
7,563.469,879074,0.576644,0,2,False,
8,195.355,2.53554e+006,0.518481,0,17,True,
10,183.492,2.69947e+006,1.14858,0,170,True,
12,166.886,2.96809e+006,1.17576,0,32,True,
13,107.804,4.59474e+006,1.7611,0,32,True,
14,469.769,1.05441e+006,1.54957,0,26,True,
15,149.447,3.31443e+006,0.128291,0,6,True,
16,149.649,3.30996e+006,1.07853,0,48,True,
17,79.5368,6.2277e+006,0.760234,0,27,True,
18,139.045,3.56237e+006,0.797984,0,3,False,
21,118.166,4.19184e+006,0.278085,0,8,True,
24,31.2888,1.58309e+007,0.232186,0,2,False,
25,138.4,3.57899e+006,0.280923,0,3,False,
26,39.5771,1.25156e+007,0.382245,0,3,False,
27,48.4784,1.02176e+007,0.350217,0,2,False,
28,132.673,3.73349e+006,0.837751,0,2,False,
29,27874.8,17769.9,0.228722,0,2,False,
30,195.177,2.53785e+006,0.766402,3,2,False,
31,1341.29,369293,0.219035,0,4,False,
32,43.3266,1.14325e+007,0.512784,0,4,False,
33,83.9629,5.89941e+006,0.952424,0,10,True,
34,75.9999,6.51753e+006,0.321554,0,8,True,
35,139.622,3.54765e+006,0.459289,0,31,True,
36,281.109,1.76206e+006,1.63657,0,3,False,
37,33.5125,1.47805e+007,0.355161,0,2,False,
39,136.836,3.61989e+006,2.04132,0,41,True,
40,104.703,4.73083e+006,1.1458,0,71,True,
43,201.413,2.45928e+006,0.371064,60,2,False,
45,370.356,1.33745e+006,1.19388,0,504,True,
46,55.5215,8.92143e+006,1.46854,0,13,True,
47,148.26,3.34096e+006,1.48428,0,356,True,
48,138.838,3.5677e+006,1.35022,0,118,True,
49,242.795,2.04012e+006,1.27988,0,636,True,
50,117.633,4.21083e+006,1.34365,0,60,True,
51,166.139,2.98142e+006,1.61909,0,2,False,
52,151.225,3.27546e+006,1.40993,0,23,True,
53,860.176,575849,1.10733,16,3,False,
54,247.333,2.00269e+006,1.43338,0,304,True,
55,27874.8,17769.9,2.1704,1,2,False,
57,66.3215,7.46864e+006,0.24139,1,2,False,
58,583.146,849412,0.210727,1,3,False,
60,112.884,4.38795e+006,0.590416,1,5,True,
61,95.8032,5.1703e+006,0.220216,5,2,False,
67,61.0822,8.10926e+006,0.506115,1,2,False,
68,179.905,2.75329e+006,0.551892,1,2,False,
72,125.607,3.94351e+006,0.25542,2,2,False,
79,229.312,2.16007e+006,0.421555,2,3,False,
81,152.912,3.23933e+006,0.859439,2,13,True,
83,156.171,3.17172e+006,0.981373,2,2,False,
85,194.948,2.54083e+006,1.54781,2,66,True,
91,27874.8,17769.9,0.239319,4,2,False,
98,77.8932,6.35911e+006,0.617732,3,10,True,
101,84.2643,5.8783e+006,1.14543,4,30,True,
102,42.9279,1.15387e+007,0.361075,4,2,False,
105,224.823,2.20321e+006,0.740648,4,12,True,
106,4772.82,103782,0.352357,4,2,False,
107,38.7671,1.27771e+007,0.794573,4,2,False,
108,136.312,3.63381e+006,0.222354,4,2,False,
110,70.3217,7.04379e+006,0.232378,4,2,False,
119,470.261,1.05331e+006,0.346065,5,2,False,
124,195.438,2.53447e+006,0.137678,5,2,False,
128,27874.8,17769.9,0.313223,5,2,False,
131,112.982,4.38418e+006,1.68512,5,2,False,
132,41.1644,1.2033e+007,0.841863,0,3,False,
133,43.49,1.13895e+007,0.109832,6,2,False,
135,391.651,1.26473e+006,1.13987,6,6,False,
136,425.996,1.16276e+006,0.127429,6,2,False,
139,152.569,3.24661e+006,1.0877,14,2,False,
140,121.379,4.08085e+006,0.699853,6,2,False,
141,174.286,2.84206e+006,1.22233,6,38,True,
145,119.875,4.13207e+006,0.382532,7,2,False,
146,185.598,2.66884e+006,0.597181,7,2,False,
147,251.574,1.96893e+006,0.338431,7,2,False,
148,105.935,4.6758e+006,0.486757,7,2,False,
151,160.012,3.09558e+006,0.174094,7,2,False,
154,20.4228,2.42538e+007,0.231631,7,2,False,
156,100.547,4.92637e+006,0.21603,7,2,False,
162,61.5325,8.04991e+006,0.573541,7,3,False,
164,99.2154,4.99248e+006,0.195308,1,4,False,
168,1382.22,358360,0.406639,12,7,False,
173,90.4052,5.47901e+006,0.500778,8,5,True,
174,46.9446,1.05514e+007,0.41784,8,2,False,
175,34918.4,14185.4,0.256662,9,2,False,
176,104.976,4.71852e+006,0.451274,10,2,False,
177,118.272,4.18808e+006,0.163246,9,3,False,
178,4258.92,116304,0.449139,9,2,False,
180,513.257,965074,0.24163,9,2,False,
181,95.3858,5.19293e+006,0.508807,9,26,True,
182,46.5579,1.0639e+007,0.852528,9,4,False,
185,128.75,3.84724e+006,0.300198,10,2,False,
188,183.268,2.70277e+006,0.552977,10,2,False,
189,272.58,1.8172e+006,0.170453,10,3,False,
190,2406.59,205823,0.555256,10,2,False,
192,121.187,4.08732e+006,0.541383,10,4,False,
196,62.4047,7.9374e+006,0.202289,10,4,False,
201,1350.8,366695,0.451186,31,3,False,
204,48.3412,1.02466e+007,0.293977,11,2,False,
205,126.997,3.90034e+006,0.199761,11,2,False,
207,119.036,4.16119e+006,0.422576,11,4,False,
209,65.1577,7.60204e+006,0.552171,11,13,True,
210,428.983,1.15466e+006,0.32087,11,2,False,
213,47.3622,1.04584e+007,0.302865,11,3,False,
215,166.079,2.9825e+006,0.130505,12,2,False,
218,135.481,3.6561e+006,0.309991,12,2,False,
219,1951.15,253866,0.340536,12,2,False,
223,81.8901,6.04873e+006,0.667032,12,8,True,
228,132.533,3.73742e+006,0.176822,12,2,False,
231,161.836,3.06071e+006,0.252038,12,2,False,
233,69.4008,7.13726e+006,0.342304,13,2,False,
234,259.373,1.90973e+006,0.212057,13,2,False,
240,111.573,4.43954e+006,1.35228,13,85,True,
241,73.8325,6.70885e+006,0.318399,13,2,False,
242,1059.8,467383,1.52319,17,2,False,
243,497.73,995181,0.140654,13,3,False,
244,27874.8,17769.9,0.344316,13,2,False,
248,97.3725,5.08697e+006,0.612883,13,2,False,
249,65.0497,7.61466e+006,0.395687,13,6,True,
251,41.1821,1.20278e+007,2.47775,14,2,False,
256,334.158,1.48233e+006,0.413843,14,4,False,
257,53.0918,9.32971e+006,0.42521,14,2,False,
269,243.446,2.03467e+006,0.207571,15,4,False,
