[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
Filename,"std fbs 50x01","std fbs 50x02","std fbs 50x03","std fbs 50x04","std fbs 50x05",
Operator,"Guillaume","Guillaume","Guillaume","Guillaume","Guillaume",
Sample Description,"exo dep fbs 50x dil","exo dep fbs 50x dil","exo dep fbs 50x dil","exo dep fbs 50x dil","exo dep fbs 50x dil",
Diluent,"","","","","",
Concentration,"","","","","",
Pre-treatmeant,"","","","","",
Comments,"","","","","",

[Results Summary]
Total Frames,749,749,749,749,749,
Processed Frames,749,749,749,749,749,
Valid Tracks,991,1164,1227,1894,1313,
Overall Drift (nm/s),433.74,490.72,226.94,496.56,617.39,
X-Drift (nm/s),-161.09,-261.18,29.36,-319.30,-254.77,
Y-Drift (nm/s),-402.71,-415.44,-225.03,-380.29,-562.38,
Calibration (nm/pixel),181,181,181,181,181,

Size Data - Concentration Weighted,,,,,,Mean, Std Error,
Mode (nm),115.00,96.00,116.00,109.00,93.00,105.80,4.79,
Mean (nm),147.02,139.47,140.50,118.08,158.40,140.69,6.58,
Standard Deviation (nm),74.84,62.99,72.59,51.96,101.63,72.80,8.26,

User Line 1,0,0,0,0,0,
User Line 2,0,0,0,0,0,Mean, Std Error,
Average # centres/frame,45.49,49.17,55.04,73.31,53.72,55.34,4.80,
Average # particles/frame,36.50,42.08,43.89,63.49,47.89,46.77,4.56,
Equivalent particle concentration (E8 particles/ml),4.94,5.46,5.88,8.55,6.11,6.19,0.62,
Selected average # particles/frame,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Selected equivalent particle concentration (E8 particles/ml),0.00,0.00,0.00,0.00,0.00,0.00,0.00,

[Settings]
Background Extract,On,On,On,On,On,
Brightness,0,0,0,0,0,
Gain,1.00,1.00,1.00,1.00,1.00,
Blur Size,Auto,Auto,Auto,Auto,Auto,
Detection Threshold Type,Multi,Multi,Multi,Multi,Multi,
Detection Threshold,10,10,10,10,10,
Brightness B,,,,,,
Gain B,,,,,,
Blur Size B,,,,,,
Detection Threshold Type B,,,,,,
Detection Threshold B,,,,,,
Min track length,Auto,Auto,Auto,Auto,Auto,
Min Expected Size (nm),Auto,Auto,Auto,Auto,Auto,
Max jump distance (nm),9.79,9.54,9.67,10.55,9.34,

[Measurement Conditions]
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Camera Shutter (ms),32.49,32.49,32.49,32.49,32.49,
Camera Gain,512.00,512.00,512.00,512.00,512.00,
Camera Shutter B (ms),,,,,,
Camera Gain B,,,,,,
Frame rate (fps),25.00,24.99,24.99,24.99,24.99,
Temperature (°C),25.70,25.90,25.90,25.90,25.90,
Viscosity (cP),0.875,0.871,0.871,0.871,0.871,

[Warnings]
Low Completed Tracks,No,No,No,No,No,
High Noise,0 frames,0 frames,0 frames,0 frames,0 frames,
High Min Expected Size,Auto,Auto,Auto,Auto,Auto,
Drift off,No,No,No,No,No,
Settings Changed Whilst Processing,No,No,No,No,No,
Vibration detected,No vibration detected,No vibration detected,No vibration detected,No vibration detected,No vibration detected,
Additional Errors,None,None,None,None,None,

[Graph Data]

Filename,"std fbs 50x01","std fbs 50x02","std fbs 50x03","std fbs 50x04","std fbs 50x05",Average data
Particle Size (nm),Concentration (E6 particles / ml),Concentration (E6 particles / ml),Concentration (E6 particles / ml),Concentration (E6 particles / ml),Concentration (E6 particles / ml),Concentration Average (E6 particles / ml), Standard Error,
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
