Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
0,4766.14,105558,0.311446,1,2,False,
1,127.547,3.94445e+006,1.67805,0,8,True,
2,236.6,2.12639e+006,1.29409,0,13,True,
3,155.623,3.23283e+006,0.858221,0,6,True,
4,468.751,1.07328e+006,0.162345,0,2,False,
5,211.884,2.37442e+006,0.681768,0,13,True,
6,249.91,2.01314e+006,0.46434,0,4,False,
7,137.769,3.65178e+006,0.774627,0,11,True,
8,76.6524,6.56343e+006,0.740505,0,38,True,
9,131.958,3.8126e+006,1.02615,0,39,True,
10,28312.8,17769.4,0.312041,4,2,False,
12,103.778,4.84789e+006,1.31493,0,3,False,
13,70.7122,7.1148e+006,0.294448,0,3,False,
14,210.645,2.3884e+006,0.763853,0,64,True,
15,130.228,3.86324e+006,0.280393,0,2,False,
16,28312.8,17769.4,0.200836,2,2,False,
17,211.755,2.37587e+006,3.25683,0,3,False,
18,177.799,2.82961e+006,0.366272,0,5,False,
21,118.655,4.24004e+006,0.747716,2,2,False,
22,32.7903,1.5343e+007,0.209993,0,2,False,
24,126.312,3.98303e+006,0.413087,0,19,True,
25,117.424,4.28449e+006,0.248088,0,3,False,
26,114.972,4.37588e+006,1.29018,0,2,False,
27,29.8369,1.68618e+007,0.124487,0,2,False,
28,184.897,2.72098e+006,1.35901,0,99,True,
29,3074.19,163654,0.458331,0,2,False,
30,798.254,630254,0.550423,0,3,False,
32,3148.79,159777,0.383846,0,3,False,
34,162.708,3.09205e+006,0.647261,0,4,False,
35,152.829,3.29194e+006,0.377247,0,4,False,
36,397.679,1.2651e+006,0.613132,0,4,False,
38,13412.5,37510.1,0.760991,31,2,False,
40,150.977,3.33231e+006,0.197271,0,2,False,
41,100.347,5.01366e+006,0.292362,0,2,False,
42,72.1993,6.96826e+006,0.553494,0,6,True,
43,108.72,4.62752e+006,0.625752,0,2,False,
44,92.7227,5.42589e+006,0.187459,0,2,False,
46,96.442,5.21664e+006,0.197645,0,4,False,
47,88.5731,5.68009e+006,1.43896,0,14,True,
48,173.773,2.89517e+006,1.18257,0,115,True,
49,9784.18,51420,0.822376,0,4,False,
50,4465.36,112668,0.828574,0,2,False,
51,127.926,3.93276e+006,1.06109,0,15,True,
52,67.462,7.45757e+006,1.65107,0,26,True,
53,3272.8,153722,0.693842,0,2,False,
55,624.757,805278,0.113995,1,3,False,
56,26.1679,1.9226e+007,0.263442,1,2,False,
59,144.963,3.47057e+006,1.16204,1,9,True,
65,170.482,2.95107e+006,0.187377,2,2,False,
67,49.2897,1.02071e+007,0.180752,2,2,False,
69,57.1704,8.80007e+006,0.167504,2,4,False,
70,1156.81,434906,1.29665,2,3,False,
71,83.6686,6.01304e+006,0.358886,2,8,True,
72,317.169,1.58623e+006,0.152186,2,10,True,
73,85.349,5.89466e+006,0.23789,2,8,True,
74,28312.8,17769.4,0.690775,2,2,False,
75,3202.82,157081,1.13408,2,2,False,
76,253.017,1.98842e+006,1.03048,8,2,False,
77,127.469,3.94686e+006,2.22492,3,9,True,
78,237.767,2.11595e+006,0.728547,30,2,False,
80,101.592,4.9522e+006,1.30479,3,28,True,
82,182.714,2.75351e+006,0.535684,3,2,False,
86,229.289,2.19418e+006,1.58132,3,83,True,
89,91.382,5.50549e+006,0.338246,6,2,False,
90,453.864,1.10849e+006,0.245221,15,2,False,
92,117.812,4.2704e+006,0.878409,4,139,True,
93,53.9912,9.31825e+006,1.98233,4,3,False,
94,197.648,2.54545e+006,0.693172,0,2,False,
95,2988.08,168370,0.336509,0,2,False,
97,886.851,567292,0.395092,5,2,False,
98,63.096,7.97361e+006,0.264682,5,2,False,
99,84.355,5.96411e+006,0.248225,5,2,False,
103,200.379,2.51076e+006,1.03841,5,18,True,
105,28312.8,17769.4,0.337241,5,2,False,
106,366.891,1.37126e+006,1.24148,5,4,False,
110,1384.45,363397,1.61787,6,2,False,
112,187.811,2.67877e+006,0.0828078,6,2,False,
115,2332.02,215737,0.112847,6,2,False,
116,510.826,984882,2.32898,14,31,True,
117,205.832,2.44424e+006,0.317923,0,4,False,
118,63.4478,7.9294e+006,1.28948,7,6,True,
119,168.048,2.9938e+006,0.944315,7,2,False,
121,490.198,1.02633e+006,1.31238,7,2,False,
123,23.4563,2.14485e+007,0.286422,7,2,False,
125,127.988,3.93086e+006,0.466929,7,12,True,
126,79.4713,6.33062e+006,0.468367,7,45,True,
127,329.005,1.52917e+006,0.332672,7,2,False,
128,28312.8,17769.4,1.14954,12,2,False,
132,80.1707,6.2754e+006,0.686113,8,4,False,
133,758.166,663579,0.286675,41,2,False,
134,88.6507,5.67512e+006,1.28766,8,20,True,
135,241.823,2.08046e+006,0.503605,8,17,True,
137,128.067,3.92845e+006,0.193228,8,2,False,
140,825.236,609647,0.880572,8,6,False,
141,366.06,1.37437e+006,0.291067,8,2,False,
142,176.902,2.84397e+006,0.247023,4,2,False,
143,164.982,3.04944e+006,0.174739,9,2,False,
144,81.6682,6.16033e+006,0.497591,9,2,False,
145,104.852,4.79823e+006,0.724097,9,6,True,
148,25.2565,1.99197e+007,0.210557,21,2,False,
149,173.424,2.901e+006,0.862337,9,20,True,
150,28312.8,17769.4,0.308947,9,2,False,
151,106.211,4.73681e+006,0.372248,9,12,True,
152,382.437,1.31552e+006,0.326426,9,2,False,
159,100.365,5.01274e+006,0.17354,10,6,True,
166,93.5796,5.37621e+006,1.31887,10,15,True,
170,59.5398,8.44986e+006,0.151164,10,4,False,
171,181.233,2.77601e+006,0.978873,2,6,True,
172,2427.99,207209,0.663284,19,5,False,
179,50.3998,9.98224e+006,0.370744,11,3,False,
181,28312.8,17769.4,0.137223,11,2,False,
182,41.445,1.21391e+007,0.209014,12,3,False,
187,200.119,2.51402e+006,0.353208,12,6,True,
188,28312.8,17769.4,0.211817,12,2,False,
189,259.907,1.9357e+006,0.312365,12,2,False,
191,178.262,2.82227e+006,0.326301,12,6,True,
195,9900.4,50816.5,0.277886,12,2,False,
196,163.737,3.07263e+006,1.06246,12,174,True,
197,125.459,4.01008e+006,1.3124,13,2,False,
199,28312.8,17769.4,0.531443,13,2,False,
200,131.101,3.83751e+006,0.683578,13,81,True,
201,584.355,860955,2.72581,13,2,False,
