ID	lat	long	Conc	Age	Profondeur
K1	46.794234	-65.056907	0.120220142	7	80
K2	46.84755	-65.118455	0.097930606	10	43
K3	46.70715	-64.934352	0.076262055	29	75
K4	46.712513	-65.06931	0.204542169	10	124
K5	46.677739	-64.963449	0.26571898	21	150
K6	46.666356	-64.991875	0.022030616	7	100
K7	46.682721	-64.976735	0.027013561	12	58
K9	46.748573	-65.227422	0.056852771	40	80
K10	46.74135	-65.434328	0.229352576	14	132
K11	46.810222	-65.342131	0.303432627	1	93
K12	46.708281	-64.889879	0.195358955	5	42
K13	46.794218	-65.059309	0.286859698	22	87
K14	46.697848	-64.938836	0.017450358	40	75
K15	46.471363	-65.197246	0.077907162	30	130
K16	46.548968	-65.085681	0.07504972	30	150
K17	46.521878	-65.06744	0.049914248	17	100
K18	46.564285	-64.900729	0.304078389	25	110
K19	46.589109	-65.093238	0.023625124	36	175
K20	46.679633	-64.866971	0.139662769	30	90
K21	46.712578	-65.302821	0.158475069	12	100
K22	46.498204	-65.269628	0	11	185
K23	46.512438	-65.081378	0.045973323	13	200
K24	46.541714	-65.051541	0.071906709	12	102
K25	46.482284	-65.286395	0.045118226	7	250
K26	46.486335	-65.270655	0	6	60
K27	46.642589	-65.049906	0.045202779	29	64
K28	46.59740	-64.906502	0.107835195	27	75
K29	46.67465	-64.977647	0.056034379	6	52
K30	46.20472	-64.573253	0.172948161	13	260
K31	46.708677	-65.041296	0.013954131	35	46
K32	46.674849	-64.977429	0.080809385	14	80
K33	46.520814	-65.072847	0.019014349	NA	NA
K34	46.529928	-65.062513	0.014708379	34	90
K35	46.518195	-65.113599	0.028271726	25	110
K36	46.698664	-64.944589	0.067387427	15	82
K37	46.740116	-64.984051	0.068274636	36	110
K38	46.666889	-64.848186	0.091361126	35	60
K39	46.708596	-65.045175	0	5	110
K40	46.708209	-64.902928	0.069709415	24	75
K41	46.539604	-64.714545	0.029962255	8	90
K42	46.73138	-64.96338	0.061574104	25	65
K43	46.731338	-64.976928	0.201415128	2	140
K45	46.613783	-64.785074	0.125602989	19	65
K46	46.400975	-64.659517	0.118225576	2	85
K47	46.333102	-64.617319	0.020241311	NA	50
K48	46.348248	-64.615988	0.054697022	40	63
